# wavelength[micron] photons/cm^2/s/Angstrom/arcsec^2
0.926519 1.202339e-05
0.926628 1.211534e-05
0.926737 1.217493e-05
0.926846 1.219817e-05
0.926955 1.217546e-05
0.927064 1.213794e-05
0.927173 1.214804e-05
0.927282 1.212149e-05
0.927392 1.200302e-05
0.927501 1.200993e-05
0.927610 1.196440e-05
0.927719 1.195607e-05
0.927828 1.197704e-05
0.927937 1.165544e-05
0.928046 1.138205e-05
0.928156 1.127997e-05
0.928265 1.135865e-05
0.928374 1.172414e-05
0.928483 1.198291e-05
0.928592 1.170589e-05
0.928701 1.155122e-05
0.928810 1.146798e-05
0.928919 1.135848e-05
0.929029 1.162825e-05
0.929138 1.178326e-05
0.929247 1.165871e-05
0.929356 1.174204e-05
0.929465 1.172285e-05
0.929574 1.118651e-05
0.929683 1.125038e-05
0.929792 1.119864e-05
0.929902 1.080322e-05
0.930011 1.135580e-05
0.930120 1.088692e-05
0.930229 1.061223e-05
0.930338 1.089174e-05
0.930447 1.047764e-05
0.930556 1.087035e-05
0.930666 2.279707e-05
0.930775 3.394347e-05
0.930884 5.156790e-05
0.930993 5.724910e-05
0.931102 4.428742e-05
0.931211 2.831165e-05
0.931320 2.219222e-05
0.931429 7.693933e-05
0.931539 7.617703e-05
0.931648 7.380621e-05
0.931757 6.473113e-05
0.931866 1.041650e-05
0.931975 9.970156e-06
0.932084 1.088567e-05
0.932193 1.250860e-05
0.932302 2.146454e-05
0.932412 4.196838e-05
0.932521 7.093725e-05
0.932630 6.934016e-05
0.932739 5.520929e-05
0.932848 2.286610e-05
0.932957 9.020674e-06
0.933066 1.075850e-05
0.933176 1.092828e-05
0.933285 1.132610e-05
0.933394 1.083426e-05
0.933503 9.256888e-06
0.933612 8.563087e-06
0.933721 8.275874e-06
0.933830 1.639117e-05
0.933939 2.620693e-05
0.934049 2.543136e-05
0.934158 2.589955e-05
0.934267 1.313281e-05
0.934376 8.139139e-06
0.934485 7.186780e-06
0.934594 5.899140e-06
0.934703 5.379662e-06
0.934812 7.192694e-06
0.934922 9.215567e-06
0.935031 1.080487e-05
0.935140 1.146568e-05
0.935249 1.163697e-05
0.935358 1.110011e-05
0.935467 9.143373e-06
0.935576 7.943821e-06
0.935686 7.784492e-06
0.935795 7.840616e-06
0.935904 7.602798e-06
0.936013 7.423944e-06
0.936122 7.458244e-06
0.936231 8.325276e-06
0.936340 1.061434e-05
0.936449 1.129096e-05
0.936559 1.043100e-05
0.936668 1.005824e-05
0.936777 8.967905e-06
0.936886 8.987204e-06
