# wavelength[micron] photons/cm^2/s/Angstrom/arcsec^2
1.973778 2.906333e-04
1.973995 1.859299e-04
1.974213 8.438574e-05
1.974430 4.600758e-05
1.974647 1.293815e-04
1.974864 4.008231e-04
1.975081 6.029191e-04
1.975299 5.487678e-04
1.975516 3.018313e-04
1.975733 1.379017e-04
1.975950 1.125676e-04
1.976167 1.068938e-04
1.976385 7.677587e-05
1.976602 1.377568e-04
1.976819 6.551176e-04
1.977036 1.319488e-03
1.977253 1.489964e-03
1.977471 9.450727e-04
1.977688 3.266988e-04
1.977905 1.102631e-04
1.978122 8.316009e-05
1.978339 5.958169e-05
1.978556 4.158365e-05
1.978774 3.576400e-05
1.978991 3.378779e-05
1.979208 3.383015e-05
1.979425 3.410359e-05
1.979642 3.530296e-05
1.979860 3.594566e-05
1.980077 3.793730e-05
1.980294 4.606457e-05
1.980511 5.643405e-05
1.980728 6.396545e-05
1.980946 6.585210e-05
1.981163 6.067623e-05
1.981380 5.285810e-05
1.981597 4.700583e-05
1.981814 4.353943e-05
1.982032 4.188385e-05
1.982249 4.245114e-05
1.982466 4.504628e-05
1.982683 4.365188e-05
1.982900 3.919749e-05
1.983118 3.583800e-05
1.983335 4.651815e-05
1.983552 1.788563e-04
1.983769 4.124333e-04
1.983986 5.254711e-04
1.984204 3.883442e-04
1.984421 1.530893e-04
1.984638 4.694243e-05
1.984855 3.485132e-05
1.985072 3.561596e-05
1.985290 3.411720e-05
1.985507 3.341296e-05
1.985724 3.263650e-05
1.985941 3.172055e-05
1.986158 3.168199e-05
1.986375 3.229349e-05
1.986593 3.358191e-05
1.986810 3.573500e-05
1.987027 3.744671e-05
1.987244 3.694926e-05
1.987461 3.476134e-05
1.987679 3.283243e-05
1.987896 3.208671e-05
1.988113 3.228677e-05
1.988330 3.300963e-05
1.988547 3.618092e-05
1.988765 6.539339e-05
1.988982 1.221701e-04
1.989199 1.612823e-04
1.989416 1.542594e-04
1.989633 1.130516e-04
1.989851 8.377852e-05
1.990068 7.940981e-05
1.990285 9.159148e-05
1.990502 9.540423e-05
1.990719 7.936845e-05
1.990937 5.576351e-05
1.991154 5.485452e-05
1.991371 6.556854e-05
1.991588 6.352251e-05
1.991805 5.765221e-05
1.992023 8.160486e-05
1.992240 1.399607e-04
1.992457 1.797719e-04
1.992674 1.595545e-04
1.992891 1.033145e-04
1.993109 5.369048e-05
1.993326 3.485117e-05
1.993543 4.845930e-05
1.993760 6.570171e-05
1.993977 4.975101e-05
1.994194 3.524838e-05
1.994412 3.451879e-05
1.994629 3.731447e-05
1.994846 4.547349e-05
1.995063 5.273496e-05
1.995280 5.561931e-05
1.995498 5.811141e-05
1.995715 6.443627e-05
1.995932 6.509062e-05
1.996149 5.325165e-05
1.996366 4.355764e-05
1.996584 4.292656e-05
1.996801 4.741783e-05
1.997018 4.748128e-05
1.997235 4.219197e-05
1.997452 3.813721e-05
1.997670 3.799020e-05
1.997887 3.948882e-05
1.998104 4.011645e-05
1.998321 4.052490e-05
1.998538 4.109478e-05
1.998756 4.160987e-05
1.998973 4.283664e-05
1.999190 4.467416e-05
1.999407 4.728999e-05
1.999624 5.211761e-05
1.999842 6.440499e-05
2.000059 1.185068e-04
2.000276 4.821625e-04
2.000493 1.523867e-03
2.000710 2.522503e-03
2.000928 2.426231e-03
2.001145 1.259244e-03
2.001362 3.377486e-04
2.001579 8.211954e-05
2.001796 6.752775e-05
2.002013 6.590696e-05
2.002231 7.186664e-05
2.002448 7.382283e-05
2.002665 8.691765e-05
2.002882 2.493894e-04
2.003099 5.988722e-04
2.003317 7.733730e-04
2.003534 5.847624e-04
2.003751 2.383015e-04
2.003968 7.265924e-05
2.004185 5.153351e-05
2.004403 5.131790e-05
2.004620 5.002693e-05
2.004837 4.949414e-05
2.005054 4.924154e-05
2.005271 4.948524e-05
2.005489 5.121056e-05
2.005706 5.304438e-05
2.005923 5.863825e-05
2.006140 6.055525e-05
2.006357 5.645731e-05
2.006575 9.232183e-05
2.006792 1.723909e-04
2.007009 2.069321e-04
2.007226 1.624942e-04
2.007443 8.578291e-05
2.007661 4.839263e-05
2.007878 4.499974e-05
2.008095 4.475297e-05
2.008312 4.256722e-05
2.008529 4.198243e-05
2.008747 4.149341e-05
2.008964 4.006718e-05
2.009181 4.771083e-05
2.009398 6.853240e-05
2.009615 9.505527e-05
2.009832 1.176102e-04
2.010050 1.097608e-04
2.010267 7.787444e-05
2.010484 5.550402e-05
2.010701 4.883259e-05
2.010918 5.063828e-05
2.011136 6.408134e-05
2.011353 8.809380e-05
2.011570 1.073342e-04
2.011787 1.040766e-04
2.012004 8.489395e-05
2.012222 7.898561e-05
2.012439 8.820608e-05
2.012656 1.185510e-04
2.012873 3.142955e-04
2.013090 2.245275e-04
2.013308 8.349970e-05
2.013525 6.079322e-05
2.013742 4.812626e-05
2.013959 4.720757e-05
2.014176 4.732430e-05
2.014394 4.748767e-05
2.014611 4.563248e-05
2.014828 4.648479e-05
2.015045 4.781411e-05
2.015262 4.703681e-05
2.015480 4.720854e-05
2.015697 5.050050e-05
2.015914 5.479481e-05
2.016131 6.185002e-05
2.016348 6.725662e-05
2.016566 6.737441e-05
2.016783 6.664791e-05
2.017000 6.792305e-05
2.017217 7.381552e-05
2.017434 7.912390e-05
2.017651 7.991250e-05
2.017869 7.580627e-05
2.018086 6.569280e-05
2.018303 5.715696e-05
2.018520 5.049254e-05
2.018737 7.362118e-05
2.018955 2.270451e-04
2.019172 4.290040e-04
2.019389 4.704818e-04
2.019606 2.986789e-04
2.019823 1.134936e-04
2.020041 5.410755e-05
2.020258 6.015019e-05
2.020475 7.276324e-05
2.020692 7.511493e-05
2.020909 6.224608e-05
2.021127 5.351913e-05
2.021344 6.163740e-05
2.021561 6.971119e-05
2.021778 6.536156e-05
2.021995 5.424371e-05
2.022213 4.746525e-05
2.022430 4.634046e-05
2.022647 4.531572e-05
2.022864 4.603705e-05
2.023081 4.757879e-05
2.023299 4.722056e-05
2.023516 4.698315e-05
2.023733 5.028103e-05
2.023950 5.324526e-05
2.024167 5.186788e-05
2.024385 4.813530e-05
2.024602 4.935302e-05
2.024819 5.356358e-05
2.025036 5.296141e-05
2.025253 4.898184e-05
2.025470 4.577885e-05
2.025688 4.564818e-05
2.025905 4.628838e-05
2.026122 4.692432e-05
2.026339 4.941446e-05
2.026556 5.825376e-05
2.026774 5.533014e-05
2.026991 1.421708e-04
2.027208 8.444427e-04
2.027425 1.885541e-03
2.027642 2.196026e-03
2.027860 1.443143e-03
2.028077 4.515738e-04
2.028294 1.047001e-04
2.028511 8.984973e-05
2.028728 9.074823e-05
2.028946 9.966251e-05
2.029163 1.062321e-04
2.029380 9.895038e-05
2.029597 9.293056e-05
2.029814 9.329402e-05
2.030032 8.621084e-05
2.030249 7.038030e-05
2.030466 6.222688e-05
2.030683 6.442630e-05
2.030900 6.160869e-05
2.031118 5.216527e-05
2.031335 5.489766e-05
2.031552 8.230844e-05
2.031769 1.147388e-04
2.031986 1.205412e-04
2.032203 9.525048e-05
2.032421 6.589376e-05
2.032638 5.076919e-05
2.032855 5.156717e-05
2.033072 5.598605e-05
2.033289 7.317567e-05
2.033507 3.126347e-04
2.033724 8.169716e-04
2.033941 1.139959e-03
2.034158 9.319672e-04
2.034375 4.245790e-04
2.034593 1.623678e-04
2.034810 1.092591e-04
2.035027 8.464563e-05
2.035244 5.889833e-05
2.035461 4.763063e-05
2.035679 4.640295e-05
2.035896 4.649761e-05
2.036113 4.524789e-05
2.036330 4.507126e-05
2.036547 4.646975e-05
2.036765 4.854771e-05
2.036982 5.043056e-05
2.037199 4.982557e-05
2.037416 4.706280e-05
2.037633 4.445554e-05
2.037851 4.376952e-05
2.038068 4.430760e-05
2.038285 4.584740e-05
2.038502 4.689411e-05
2.038719 4.696674e-05
2.038937 4.695449e-05
2.039154 4.819204e-05
2.039371 4.918134e-05
2.039588 5.039992e-05
2.039805 5.381735e-05
2.040022 5.738429e-05
2.040240 6.460001e-05
2.040457 6.027320e-05
2.040674 2.078039e-04
2.040891 1.165483e-03
2.041108 2.657267e-03
2.041326 3.053141e-03
2.041543 1.979802e-03
2.041760 5.598875e-04
2.041977 9.003823e-05
2.042194 6.553911e-05
2.042412 6.032829e-05
2.042629 5.551171e-05
2.042846 5.470925e-05
2.043063 5.389435e-05
2.043280 5.182024e-05
2.043498 4.952964e-05
2.043715 4.827319e-05
2.043932 4.929417e-05
2.044149 5.219958e-05
2.044366 5.432520e-05
2.044584 5.281996e-05
2.044801 4.935408e-05
2.045018 4.786355e-05
2.045235 4.980679e-05
2.045452 5.315652e-05
2.045670 5.822708e-05
2.045887 5.994991e-05
2.046104 5.547287e-05
2.046321 4.968721e-05
2.046538 4.739849e-05
2.046756 4.795143e-05
2.046973 4.926050e-05
2.047190 4.937200e-05
2.047407 4.988367e-05
2.047624 5.122116e-05
2.047841 5.080732e-05
2.048059 5.192971e-05
2.048276 5.980288e-05
2.048493 7.105168e-05
2.048710 7.436088e-05
2.048927 6.773569e-05
2.049145 5.683911e-05
2.049362 9.534965e-05
2.049579 3.398538e-04
2.049796 6.972956e-04
2.050013 7.377074e-04
2.050231 4.579777e-04
2.050448 1.494513e-04
2.050665 6.142818e-05
2.050882 5.890543e-05
2.051099 6.085416e-05
2.051317 7.055729e-05
2.051534 7.890797e-05
2.051751 7.513980e-05
2.051968 7.192696e-05
2.052185 8.667177e-05
2.052403 1.008512e-04
2.052620 9.325607e-05
2.052837 7.516046e-05
2.053054 6.768186e-05
2.053271 7.348252e-05
2.053489 8.013707e-05
2.053706 8.673765e-05
2.053923 1.014143e-04
2.054140 1.148530e-04
2.054357 9.908960e-05
2.054575 7.628524e-05
2.054792 7.179363e-05
2.055009 9.362792e-05
2.055226 1.226490e-04
2.055443 1.282205e-04
2.055660 1.271908e-04
2.055878 4.669119e-04
2.056095 1.447334e-03
2.056312 2.220411e-03
2.056529 1.900202e-03
2.056746 8.495955e-04
2.056964 1.952826e-04
2.057181 9.994322e-05
2.057398 1.389053e-04
2.057615 1.520782e-04
2.057832 1.451034e-04
2.058050 1.367752e-04
2.058267 1.291537e-04
2.058484 1.027738e-04
2.058701 7.207593e-05
2.058918 5.956769e-05
2.059136 5.824465e-05
2.059353 6.023622e-05
2.059570 5.977110e-05
2.059787 5.670553e-05
2.060004 5.443935e-05
2.060222 5.372260e-05
2.060439 5.391368e-05
2.060656 5.450046e-05
2.060873 5.498533e-05
2.061090 5.613649e-05
2.061308 5.603084e-05
2.061525 5.523170e-05
2.061742 5.563313e-05
2.061959 5.573647e-05
2.062176 5.564932e-05
2.062394 5.664501e-05
2.062611 5.829287e-05
2.062828 5.891292e-05
2.063045 5.690924e-05
2.063262 5.670834e-05
2.063479 5.896282e-05
2.063697 6.021555e-05
2.063914 5.981033e-05
2.064131 5.963463e-05
2.064348 6.183353e-05
2.064565 6.805637e-05
2.064783 8.002906e-05
2.065000 8.734389e-05
2.065217 8.691537e-05
2.065434 7.904490e-05
2.065651 7.274563e-05
2.065869 6.933703e-05
2.066086 7.226724e-05
2.066303 7.802162e-05
2.066520 7.616587e-05
2.066737 7.141244e-05
2.066955 7.948534e-05
2.067172 9.388024e-05
2.067389 9.339850e-05
2.067606 7.823221e-05
2.067823 6.543008e-05
2.068041 6.161777e-05
2.068258 6.090742e-05
2.068475 6.041850e-05
2.068692 6.174910e-05
2.068909 6.134521e-05
2.069127 6.031105e-05
2.069344 6.035939e-05
2.069561 6.412467e-05
2.069778 7.068236e-05
2.069995 6.688994e-05
2.070213 6.121762e-05
2.070430 6.076424e-05
2.070647 6.074056e-05
2.070864 6.146670e-05
2.071081 6.181991e-05
2.071298 6.224380e-05
2.071516 6.435984e-05
2.071733 6.755803e-05
2.071950 7.032381e-05
2.072167 7.801374e-05
2.072384 2.810241e-04
2.072602 9.229722e-04
2.072819 1.523827e-03
2.073036 1.436751e-03
2.073253 7.602056e-04
2.073470 2.215140e-04
2.073688 9.523426e-05
2.073905 1.089393e-04
2.074122 1.081227e-04
2.074339 8.582892e-05
2.074556 6.778903e-05
2.074774 6.385938e-05
2.074991 6.444421e-05
2.075208 6.332911e-05
2.075425 6.125533e-05
2.075642 6.251953e-05
2.075860 6.284284e-05
2.076077 6.243495e-05
2.076294 6.096100e-05
2.076511 6.096580e-05
2.076728 6.072901e-05
2.076946 5.965677e-05
2.077163 5.974460e-05
2.077380 6.032270e-05
2.077597 6.091570e-05
2.077814 6.072738e-05
2.078032 6.044856e-05
2.078249 6.079760e-05
2.078466 6.049436e-05
2.078683 6.066479e-05
2.078900 6.166250e-05
2.079117 6.306714e-05
2.079335 6.307509e-05
2.079552 6.188728e-05
2.079769 6.340505e-05
2.079986 7.779401e-05
2.080203 1.048458e-04
2.080421 1.265383e-04
2.080638 1.282995e-04
2.080855 1.054167e-04
2.081072 8.590837e-05
2.081289 9.053126e-05
2.081507 1.028517e-04
2.081724 9.814040e-05
2.081941 8.538091e-05
2.082158 9.826253e-05
2.082375 1.218510e-04
2.082593 1.296113e-04
2.082810 1.277450e-04
2.083027 1.195117e-04
2.083244 1.031753e-04
2.083461 7.834292e-05
2.083679 6.503619e-05
2.083896 6.342579e-05
2.084113 6.334320e-05
2.084330 6.347678e-05
2.084547 6.444023e-05
2.084765 6.645380e-05
2.084982 7.356444e-05
2.085199 8.241004e-05
2.085416 1.013995e-04
2.085633 2.244571e-04
2.085850 4.449539e-04
2.086068 5.189188e-04
2.086285 3.909423e-04
2.086502 1.905189e-04
2.086719 1.018294e-04
2.086936 1.016987e-04
2.087154 1.186201e-04
2.087371 1.310370e-04
2.087588 1.242596e-04
2.087805 9.840152e-05
2.088022 8.003401e-05
2.088240 8.846368e-05
2.088457 9.772978e-05
2.088674 9.112339e-05
2.088891 7.453810e-05
2.089108 6.574769e-05
2.089326 6.778595e-05
2.089543 7.059068e-05
2.089760 6.938950e-05
2.089977 6.828896e-05
2.090194 7.593257e-05
2.090412 1.733915e-04
2.090629 4.730881e-04
2.090846 7.945208e-04
2.091063 8.042560e-04
2.091280 4.984179e-04
2.091498 1.982817e-04
2.091715 1.062429e-04
2.091932 1.007466e-04
2.092149 8.751179e-05
2.092366 7.345489e-05
2.092584 6.884366e-05
2.092801 6.756132e-05
2.093018 6.706476e-05
2.093235 6.769144e-05
2.093452 7.010261e-05
2.093669 7.385419e-05
2.093887 7.605346e-05
2.094104 7.342571e-05
2.094321 6.882258e-05
2.094538 6.837955e-05
2.094755 7.044231e-05
2.094973 7.080251e-05
2.095190 6.943884e-05
2.095407 6.902823e-05
2.095624 6.960033e-05
2.095841 6.961728e-05
2.096059 6.870047e-05
2.096276 6.855214e-05
2.096493 6.836744e-05
2.096710 6.835280e-05
2.096927 6.850343e-05
2.097145 6.810777e-05
2.097362 6.875933e-05
2.097579 6.867004e-05
2.097796 6.784567e-05
2.098013 6.878661e-05
2.098231 6.841989e-05
2.098448 6.933717e-05
2.098665 7.040622e-05
2.098882 6.955522e-05
2.099099 6.845780e-05
2.099317 6.804905e-05
2.099534 6.788871e-05
2.099751 6.804070e-05
2.099968 6.983764e-05
2.100185 7.817369e-05
2.100403 9.027973e-05
2.100620 9.455119e-05
2.100837 9.919239e-05
2.101054 1.194966e-04
2.101271 1.356287e-04
2.101488 1.294583e-04
2.101706 1.206811e-04
2.101923 1.230437e-04
2.102140 1.172343e-04
2.102357 1.266867e-04
2.102574 1.333323e-04
2.102792 1.307569e-04
2.103009 1.522245e-04
2.103226 1.903230e-04
2.103443 1.838929e-04
2.103660 1.355011e-04
2.103878 9.832247e-05
2.104095 9.434261e-05
2.104312 9.638897e-05
2.104529 9.019309e-05
2.104746 8.631964e-05
2.104964 9.933347e-05
2.105181 1.267066e-04
2.105398 1.329968e-04
2.105615 1.235975e-04
2.105832 1.747802e-04
2.106050 2.827769e-04
2.106267 3.371569e-04
2.106484 3.523170e-04
2.106701 3.613074e-04
2.106918 3.361006e-04
2.107136 2.468443e-04
2.107353 1.588457e-04
2.107570 1.267785e-04
2.107787 1.092467e-04
2.108004 8.845916e-05
2.108222 7.815700e-05
2.108439 7.979165e-05
2.108656 1.011564e-04
2.108873 1.293985e-04
2.109090 1.451774e-04
2.109307 1.815647e-04
2.109525 2.387172e-04
2.109742 2.416889e-04
2.109959 2.104482e-04
2.110176 2.521661e-04
2.110393 3.751915e-04
2.110611 4.286879e-04
2.110828 3.237485e-04
2.111045 2.193054e-04
2.111262 3.135771e-04
2.111479 5.165423e-04
2.111697 5.194264e-04
2.111914 3.107350e-04
2.112131 1.213935e-04
2.112348 7.865895e-05
2.112565 8.303420e-05
2.112783 8.351280e-05
2.113000 8.208928e-05
2.113217 7.980314e-05
2.113434 7.786773e-05
2.113651 7.802609e-05
2.113869 7.858571e-05
2.114086 7.782837e-05
