# Wavelength (micron)  Signal (photon/sec/pixel)
       1.9943320      0.29858863
       1.9946322      0.32481748
       1.9949325      0.33278313
       1.9952328      0.33134115
       1.9955331      0.31083352
       1.9958334      0.30763105
       1.9961338      0.32296610
       1.9964340      0.31028786
       1.9967344      0.27931853
       1.9970347      0.28121377
       1.9973350      0.29003587
       1.9976352      0.27392675
       1.9979355      0.23134551
       1.9982358      0.19627653
       1.9985361      0.21236327
       1.9988364      0.22128006
       1.9991367      0.21311030
       1.9994371      0.20298117
       1.9997373      0.19123537
       2.0000377      0.18559070
       2.0003378      0.17632203
       2.0006382      0.16176863
       2.0009384      0.14739166
       2.0012388      0.13186482
       2.0015392      0.13052645
       2.0018394      0.13220277
       2.0021398      0.11923957
       2.0024400      0.10660143
       2.0027404     0.093478582
       2.0030406     0.093643959
       2.0033410      0.10808007
       2.0036411      0.10716108
       2.0039415      0.10619180
       2.0042419      0.10815241
       2.0045421      0.10242121
       2.0048425      0.10660005
       2.0051427     0.096971642
       2.0054431     0.099665856
       2.0057433     0.094451417
       2.0060437      0.10476885
       2.0063438      0.11740134
       2.0066442      0.13629708
       2.0069447      0.14252485
       2.0072448      0.14900210
       2.0075452      0.15602882
       2.0078454      0.16407430
       2.0081458      0.17505429
       2.0084460      0.20312183
       2.0087464      0.21576428
       2.0090466      0.25678014
       2.0093470      0.22832283
       2.0096474      0.19520685
       2.0099475      0.18645269
       2.0102477      0.15160162
       2.0105481      0.16465797
       2.0108485      0.13824558
       2.0111487      0.15722879
       2.0114491      0.13998038
       2.0117493      0.14983448
       2.0120497      0.14232323
       2.0123498      0.13472080
       2.0126503      0.14786629
       2.0129504      0.12862882
       2.0132508      0.15865638
       2.0135512      0.12931016
       2.0138514      0.15282167
       2.0141518      0.14856358
       2.0144520      0.14910296
       2.0147524      0.18165904
       2.0150526      0.14218794
       2.0153530      0.17569432
       2.0156531      0.15983630
       2.0159535      0.15857163
       2.0162539      0.18768749
       2.0165541      0.14838433
       2.0168545      0.17023104
       2.0171547      0.16442341
       2.0174551      0.16518202
       2.0177553      0.20345299
       2.0180557      0.16387932
       2.0183558      0.19632108
       2.0186563      0.21118046
       2.0189567      0.18112136
       2.0192568      0.23047407
       2.0195570      0.21812318
       2.0198574      0.21354454
       2.0201578      0.25560801
       2.0204580      0.22480347
       2.0207584      0.23799302
       2.0210586      0.25635532
       2.0213590      0.22134369
       2.0216591      0.26718439
       2.0219595      0.27009332
       2.0222597      0.24125263
       2.0225601      0.29425105
       2.0228605      0.28263276
       2.0231607      0.26222234
       2.0234611      0.30166337
       2.0237613      0.28840392
       2.0240617      0.28783294
       2.0243618      0.31900825
       2.0246623      0.29037738
       2.0249624      0.27921133
       2.0252628      0.29435158
       2.0255632      0.28176096
       2.0258634      0.29150173
       2.0261638      0.32597198
       2.0264640      0.32493616
       2.0267644      0.32514344
       2.0270646      0.34768136
       2.0273650      0.34097617
       2.0276651      0.32961496
       2.0279655      0.33530214
       2.0282660      0.32518821
       2.0285661      0.32047664
       2.0288665      0.33227390
       2.0291667      0.33892119
       2.0294671      0.33205488
       2.0297673      0.34726193
       2.0300677      0.35500848
       2.0303679      0.34806757
       2.0306683      0.35395915
       2.0309684      0.35873173
       2.0312688      0.35687668
       2.0315690      0.35945897
       2.0318694      0.35972596
       2.0321698      0.35242938
       2.0324700      0.34773788
       2.0327704      0.34669657
       2.0330706      0.33793778
       2.0333710      0.33731861
       2.0336711      0.35197237
       2.0339715      0.35667803
       2.0342717      0.35543408
       2.0345721      0.35584232
       2.0348725      0.35736320
       2.0351727      0.35871460
       2.0354731      0.36040045
       2.0357733      0.36115281
       2.0360737      0.36097047
       2.0363739      0.36069168
       2.0366743      0.35977710
       2.0369744      0.35733155
       2.0372748      0.35236873
       2.0375752      0.34434451
       2.0378754      0.33510482
       2.0381758      0.32724958
       2.0384760      0.32517802
       2.0387764      0.32992079
       2.0390766      0.33166401
       2.0393770      0.33082181
       2.0396771      0.33183735
       2.0399776      0.32454397
       2.0402780      0.32267087
       2.0405781      0.33062136
       2.0408785      0.33626318
       2.0411787      0.33663604
       2.0414791      0.33309659
       2.0417793      0.33318125
       2.0420797      0.33214230
       2.0423799      0.33625080
       2.0426803      0.33495604
       2.0429804      0.33541082
       2.0432808      0.33414296
       2.0435810      0.33786159
       2.0438814      0.33622643
       2.0441818      0.33693259
       2.0444820      0.33749160
       2.0447824      0.33954732
       2.0450826      0.33940330
       2.0453830      0.34196433
       2.0456831      0.34419321
       2.0459836      0.34412611
       2.0462837      0.34233678
       2.0465841      0.33763563
       2.0468845      0.33375514
       2.0471847      0.33127209
       2.0474851      0.32475805
       2.0477853      0.31926960
       2.0480857      0.31136538
       2.0483859      0.30730877
       2.0486863      0.30239928
       2.0489864      0.29706681
       2.0492868      0.28791834
       2.0495872      0.28052624
       2.0498874      0.27566824
       2.0501878      0.27124371
       2.0504880      0.26545269
